total_packets,tcp_packets,tcp_syn_packets,udp_packets,icmp_packets,avg_len,entropy_src_ip,entropy_src_port,label
207,0,0,135,72,51.73913043,2.833213344,0.691416078,1
377,0,0,294,83,48.16445623,3.713572067,0,1
415,0,0,312,103,48.94939759,3.871201011,0,1
280,0,0,191,89,50.9,3.433987204,0.142505867,1
238,0,0,170,68,50,3.63758616,0,1
99,0,0,50,49,55.85858586,2.63905733,0.257318641,1
106,0,0,53,53,56,1.791759469,0.450561209,1
110,0,0,55,55,56,1.945910149,0.410116318,1
73,0,0,37,37,56.76712329,0,0,1
89,0,0,44,45,56.15730337,0,0,1
97,0,0,49,49,56.1443299,0,0,1
106,0,0,52,53,56,0,0,1
908,1,0,336,571,59.73127753,5.105945474,0.724607288,1
3432,3432,0,0,0,154,5.777652323,0.336495758,1
2879,2879,0,0,0,154,4.787491743,0.306377016,1
3147,3147,0,0,0,154,5.910796644,0.493565192,1
2120,2120,0,0,0,154,5.468060141,0.453940678,1
2305,2305,0,0,0,154,5.361292166,0.431165486,1
1965,1965,0,0,0,154,5.332718793,0.504394507,1
1892,1892,0,0,0,154,5.416100402,0.468007043,1
2786,2786,0,0,0,154,5.926926026,0.439669879,1
2118,2118,0,0,0,154,4.382026635,0.443792295,1
3878,3878,0,0,0,154,5.488937726,0.420552716,1
2005,2005,0,0,0,154,5.575949103,0.431798498,1
2012,2012,0,0,0,154,5.33753808,0.42103757,1
2406,2406,0,0,0,154,5.099866428,0.437235217,1
1165,1164,0,0,1,162.0343348,5.18178355,0.498823048,1
208,0,0,0,208,5081.038462,0.848685558,0,1
134,0,0,0,134,4971.19403,0.900256051,0,1
103,0,0,0,103,4994.543689,1.011404265,0,1
145,0,0,0,145,5068.868966,1.213007566,0,1
161,0,0,0,161,5121.403727,0.992281975,0,1
158,0,0,0,158,4981.341772,1.397145342,0,1
360,0,0,0,360,5958.066667,1.587873838,0,1
369,0,0,0,369,6020.536585,1.011404265,0,1
335,0,0,0,334,5559.086567,1.488036044,0,1
111,0,0,0,112,5562.216216,0.693147181,0,1
86,0,0,0,86,5350.27907,0.693147181,0,1
6,0,0,0,6,6530,0.693147181,0,1
356,0,0,0,356,5918.11236,1.193132076,0,1
1668,0,0,0,1668,6057.71223,1.579451153,0,1
16,1,1,0,15,4449.875,0.214559155,0.693147181,1
3914,3914,2288,0,0,83.22841083,0.497894428,5.201276782,1
3606,3607,1804,0,0,79.02884082,0.56732922,6.533579292,1
1375,1375,688,0,0,79.01818182,0.575834069,6.427923979,1
2253,2253,1126,0,0,78.98890368,0.554620066,5.190837946,1
2637,2637,1318,0,0,78.99051953,0.565843899,6.114436828,1
2936,2936,1468,0,0,79,0.325082973,4.563581355,1
3607,3607,1805,0,0,79.0207929,0.622388254,5.414400953,1
3322,3322,1661,0,0,79,0.649461587,5.117993812,1
3358,3355,1679,0,3,79.47885646,0.624746925,5.434786558,1
3120,3120,1561,0,0,79,0.498194067,5.512925583,1
4103,4103,2082,0,0,79.37167926,0.59321457,5.63764549,1
3771,3771,1925,0,0,79.52373376,0.573889261,6.370320856,1
