total_packets,tcp_packets,tcp_syn_packets,udp_packets,icmp_packets,avg_len,entropy_src_ip,entropy_src_port,label
82,0,0,0,83,98.0,2.277648944155764,0.0,0
85,0,0,0,85,98.0,2.2757502294630454,0.0,0
83,0,0,0,83,98.0,2.2969244187824494,0.0,0
85,0,0,0,85,98.0,2.287898497136621,0.0,0
83,0,0,0,83,98.0,2.2797812101459956,0.0,0
86,0,0,0,86,98.0,2.2975266525872353,0.0,0
82,0,0,0,82,98.0,2.281438216462898,0.0,0
85,0,0,0,85,98.0,2.2975266525872353,0.0,0
83,0,0,0,83,98.0,2.2962442400986145,0.0,0
85,0,0,0,85,98.0,2.2626249524525455,0.0,0
86,0,0,0,86,98.0,2.2969151759242292,0.0,0
82,0,0,0,82,98.0,2.2869210108667186,0.0,0
83,0,0,0,83,98.0,2.2837850116815583,0.0,0
